building;[building];;addr:housenumber;name;1;
aerialway|gondola;405;
historic|museum;406;
highway|living_street|bridge;[highway=living_street][bridge?];;name;int_name;407;
deprecated|deprecated;408;x
railway|monorail;409;
deprecated|deprecated;410;x
deprecated|deprecated;411;x
leisure|park|private;[leisure=park][access=private];;name;int_name;412;
deprecated|deprecated;413;x
noexit|motor_vehicle;414;
deprecated|deprecated;415;x
highway|motorway|tunnel;[highway=motorway][tunnel?];;name;int_name;416;
railway|light_rail|tunnel;[railway=light_rail][tunnel?];;name;int_name;417;
area:highway|service;418;
deprecated|deprecated;419;x
deprecated|deprecated;420;x
deprecated|deprecated;421;x
deprecated|deprecated;422;x
highway|road|tunnel;[highway=road][tunnel?];;name;int_name;423;
sport|archery;424;
railway|construction|bridge;[railway][construction?][bridge?];x;name;int_name;425;
highway|track|grade2|area;[highway=track][tracktype=grade2][area?];x;name;int_name;426;
highway|ford;427;
area:highway|path;428;
railway|siding;429;
highway|track|area;[highway=track][area?];;name;int_name;430;
deprecated|deprecated;431;x
railway|funicular;432;
deprecated|deprecated;433;x
historic|battlefield;434;
deprecated|deprecated;435;x
sport|australian_football;436;
railway|disused|tunnel;[railway][disused?][tunnel?];x;name;int_name;437;
deprecated|deprecated;438;x
deprecated|deprecated;439;x
deprecated|deprecated;440;x
piste:lift|t-bar;441;
deprecated|deprecated;442;x
deprecated|deprecated;443;x
highway|path|difficult_alpine_hiking;[highway=path][sac_scale=difficult_alpine_hiking];;name;int_name;444;
earthquake:damage|spontaneous_camp;445;
deprecated|deprecated;446;x
railway|yard;447;
deprecated|deprecated;448;x
natural|meadow;449;
deprecated|deprecated;450;x
railway|razed;451;
highway|footway|demanding_mountain_hiking;[highway=footway][sac_scale=demanding_mountain_hiking];;name;int_name;452;
deprecated|deprecated;453;x
deprecated|deprecated;454;x
landuse|orchard;455;
deprecated|deprecated;456;x
highway|living_street|tunnel;[highway=living_street][tunnel?];;name;int_name;457;
deprecated|deprecated;458;x
deprecated|deprecated;459;x
railway|construction|tunnel;[railway][construction?][tunnel?];x;name;int_name;460;
sport|handball;461;
boundary|administrative|city;[boundary=administrative][border_type=city];;name;int_name;462;
piste:type|downhill|freeride;[piste:type=downhill][piste:difficulty=freeride];;name;int_name;463;
deprecated|deprecated;464;x
deprecated|deprecated;465;x
piste:type|downhill|expert;[piste:type=downhill][piste:difficulty=expert];;name;int_name;466;
landuse|salt_pond;467;
deprecated|deprecated;468;x
railway|monorail|bridge;[railway=monorail][bridge?];;name;int_name;469;
area:highway|steps;470;
railway|proposed;471;x
highway|tertiary|construction;[highway=tertiary][construction?];x;name;int_name;472;
deprecated|deprecated;473;x
natural|grassland;474;
highway|road|area;[highway=road][area?];x;name;int_name;475;
highway|tertiary|area;[highway=tertiary][area?];x;name;int_name;476;
piste:lift|platter;477;
deprecated|deprecated;478;x
highway|unclassified|disused;[highway=unclassified][disused?];x;name;int_name;479;
railway|preserved|tunnel;[railway=preserved][tunnel?];;name;int_name;480;
noexit|vehicle;481;x
highway|disused;482;x
deprecated|deprecated;483;x
highway|service|disused;[highway=service][disused?];x;name;int_name;484;
deprecated|deprecated;485;x
highway|cycleway|disused;[highway=cycleway][disused?];x;name;int_name;486;
leisure|park|permissive;[leisure=park][access=permissive];;name;int_name;487;
highway|bridleway|tunnel;[highway=bridleway][tunnel?];;name;int_name;488;
highway|motorway_link|tunnel;[highway=motorway_link][tunnel?];;name;int_name;489;
highway|residential|disused;[highway=residential][disused?];x;name;int_name;490;
highway|cycleway|construction;[highway=cycleway][construction?];x;name;int_name;491;
deprecated|deprecated;492;x
highway|tertiary_link|bridge;[highway=tertiary_link][bridge?];;name;int_name;493;
deprecated|deprecated;494;x
amenity|parking|park_and_ride;[amenity=parking][parking=park_and_ride];;name;int_name;495;
deprecated|deprecated;496;x
highway|track|grade3|area;[highway=track][tracktype=grade3][area?];x;name;int_name;497;
deprecated|deprecated;498;x
waterway|lock;499;
deprecated|deprecated;500;x
deprecated|deprecated;501;x
deprecated|deprecated;502;x
highway|trunk_link|tunnel;[highway=trunk_link][tunnel?];;name;int_name;503;
deprecated|deprecated;504;x
highway|path|disused;[highway=path][disused?];x;name;int_name;505;
deprecated|deprecated;506;x
leisure|green;507;x
deprecated|deprecated;508;x
railway|spur|bridge;[railway=spur][bridge?];;name;int_name;509;
highway|track|disused;[highway=track][disused?];x;name;int_name;510;
deprecated|deprecated;511;x
deprecated|deprecated;512;x
sport|curling;513;
deprecated|deprecated;514;x
deprecated|deprecated;515;x
natural|scrub|deciduous;[natural=scrub][wood=deciduous];x;name;int_name;516;
highway|footway|disused;[highway=footway][disused?];x;name;int_name;517;
leisure|playground|tennis;[leisure=playground][sport=tennis];x;name;int_name;518;
highway|secondary|area;[highway=secondary][area?];x;name;int_name;519;
sport|diving;520;
deprecated|deprecated;521;x
boundary|administrative|suburb;[boundary=administrative][border_type=suburb];;name;int_name;522;
natural|quarry;523;x
railway|monorail|tunnel;[railway=monorail][tunnel?];;name;int_name;524;
railway|funicular|bridge;[railway=funicular][bridge?];;name;int_name;525;
deprecated|deprecated;526;x
deprecated|deprecated;527;x
highway|primary_link|tunnel;[highway=primary_link][tunnel?];;name;int_name;528;
highway|footway|alpine_hiking;[highway=footway][sac_scale=alpine_hiking];;name;int_name;529;
natural|scrub|mixed;[natural=scrub][wood=mixed];x;name;int_name;530;
deprecated|deprecated;531;x
deprecated|deprecated;532;x
leisure|landscape_reserve;533;
leisure|playing_fields;534;x
deprecated|deprecated;535;x
boundary|administrative|state;[boundary=administrative][border_type=state];;name;int_name;536;
deprecated|deprecated;537;x
highway|cycleway|area;[highway=cycleway][area?];x;name;int_name;538;
railway|funicular|tunnel;[railway=funicular][tunnel?];;name;int_name;539;
barrier|cycle_barrier;540;
deprecated|deprecated;541;x
amenity|speed_trap;542;
highway|track|grade4|area;[highway=track][tracktype=grade4][area?];x;name;int_name;543;area:highway|track
highway|primary|area;[highway=primary][area?];x;name;int_name;544;area:highway|primary
power|line|underground;[power=line][location=underground];;name;int_name;545;
deprecated|deprecated;546;x
deprecated|deprecated;547;x
deprecated|deprecated;548;x
deprecated|deprecated;549;x
waterway|lock_gate;550;
railway|proposed|tunnel;[railway=proposed][tunnel?];x;name;int_name;551;
highway|primary|disused;[highway=primary][disused?];x;name;int_name;552;
deprecated|deprecated;553;x
deprecated|deprecated;554;x
highway|footway|demanding_alpine_hiking;[highway=footway][sac_scale=demanding_alpine_hiking];;name;int_name;555;
railway|proposed|bridge;[railway=proposed][bridge?];x;name;int_name;556;
deprecated|deprecated;557;x
landuse|runway;558;x
deprecated|deprecated;559;x
deprecated|deprecated;560;x
highway|motorway_link|disused;[highway=motorway_link][disused?];x;name;int_name;561;
highway|crossing|uncontrolled;[highway=crossing][crossing=uncontrolled];x;name;int_name;562;
deprecated|deprecated;563;x
natural|lake;564;
