# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
way,392841067,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-rimskogokorsakova-11-moskva-26458/,name=ЖК «Римского-Корсакова 11»
way,457644703,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-green-park-moskva-7817/,name=ЖК «Green Park (Грин Парк)»
way,75530975,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-verden-moskva-21397/,name=ЖК «Verden (Верден)»
way,52434936,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-wellton-park-moskva-5316/,name=ЖК «Wellton park (Веллтон парк)»
relation,4580282,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-teatralnyy-dom-moskva-5931/,name=ЖК «Театральный Дом»
way,161280353,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-kompleks-apartamentov-sofiyskiy-moskva-27696/,name=ЖК «Комплекс апартаментов Софийский»
way,37756940,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-volga-moskva-6998/,name=ЖК «Волга»
way,298746933,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-lider-na-raynisa-moskva-40322/,name=ЖК «Лидер на Райниса»
way,376457689,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-flotiliya-moskva-134/,name=ЖК «Флотилия»
way,51598666,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-dom-na-shodnenskoy-moskva-30397/,name=ЖК «Дом на Сходненской»
way,301648441,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-fili-grad-moskva-5489/,name=ЖК «Фили Град»
way,82293817,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-union-park-moskva-5317/,name=ЖК «Union Park (Юнион Парк)»
way,432373693,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-elninskaya-14b-moskva-7765/,name=ЖК «Ельнинская 14Б»
way,445879192,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-na-petra-alekseeva-moskva-8692/,name=ЖК «на Петра Алексеева»
way,75530975,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-michurinozapad-moskva-7868/,name=ЖК «Мичурино-Запад»
way,502317003,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-landyshi-moskva-8704/,name=ЖК «Ландыши»
way,288314503,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-novoyasenevskiy-moskva-425/,name=ЖК «Новоясеневский»
relation,6828240,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-varshavskoe-shosse-141-moskva-7229/,name=ЖК «Варшавское шоссе 141»
way,507005872,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-chertanovo-severnoe-mikrorayon-7b-moskva-7115/,name=ЖК «Чертаново Северное; микрорайон 7Б»
way,440965921,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-lifevolzhskaya-moskva-5162/,name=ЖК «LIFE-Волжская»
way,200591886,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-barkli-gallery-moskva-32337/,name=ЖК «Barkli Gallery (Баркли Галлери)»
relation,3959103,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-nasledie-moskva-6134/,name=ЖК «Наследие»
way,464233366,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-grand-deluxe-na-plyushcihe-moskva-2590/,name=ЖК «GRAND DELUXE на Плющихе»
way,82489472,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-dyhanie-moskva-7242/,name=ЖК «Дыхание»
way,32616447,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-moss-apartments-moskva-19547/,name=ЖК «MOSS Apartments (МОСС Апартментс)»
relation,6854252,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zvonarsky-deluxe-moskva-7782/,name=ЖК «Zvonarsky Deluxe (Звонарский Делюкс)»
relation,3444348,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-granatnyy-6-moskva-5327/,name=ЖК «Гранатный 6»
way,293290905,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-stand-art-moskva-8681/,name=ЖК «Stand Art (Стэнд Арт)»
way,46946810,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zorge-9-moskva-19487/,name=ЖК «Зорге 9»
way,150406476,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-zolotoy-treugolnik-moskva-1101/,name=ЖК «Золотой Треугольник»
way,50257771,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-level-amurskaya-moskva-35146/,name=ЖК «Level Амурская»
way,45832123,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-ozondom-moskva-40330/,name=ЖК «Озон-дом»
way,455274784,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-atlantic-apartments-moskva-8169/,name=ЖК «Atlantic Apartments (Атлантик Апартаментс)»
way,30425967,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-1147-moskva-7000/,name=ЖК «1147»
way,29446301,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-sky-city-moskva-6211/,name=ЖК «Sky City (Скай Сити)»
way,28950222,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-petrovsky-apart-house-moskva-7780/,name=ЖК «Petrovsky Apart House (Петровский Апарт Хаус)»
way,484928054,sponsored=cian,website=https://www.cian.ru/zhiloy-kompleks-capital-house-moskva-8150/,name=ЖК «Capital House (Капитал Хаус)»
relation,7337690,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-look-club-housesankt-peterburg-31318/,name=ЖК «Look Club House »
relation,7337690,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-panorama-360-sankt-peterburg-6935/,name=ЖК «Панорама 360»
way,60198689,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-nevskiy-68-sankt-peterburg-8011/,name=ЖК «Невский 68»
